ID,DEPARTAMENTO,CABECERA,PROVINCIA
352,"LAGOARGENTINO","CALAFATE","SANTACRUZ"
353,"GUARANI","ELSOBERBIO","MISIONES"
354,"25DEMAYO","ALBAPOSSE","MISIONES"
355,"OBERA","OBERA","MISIONES"
356,"SANJAVIER","SANJAVIER","MISIONES"
357,"CONCEPCION","CONCEPCIONDELASIERRA","MISIONES"
358,"GENERALMANUELBELGRANO","BERNARDODEIRIGOYEN","MISIONES"
359,"SANIGNACIO","SANIGNACIO","MISIONES"
360,"PILAGAS","ELESPINILLO","FORMOSA"
361,"LAISHI","SANFRANCISCODELAISHI","FORMOSA"
362,"PIRANE","PIRANE","FORMOSA"
363,"PATI\u00d1O","COMANDANTEFONTANA","FORMOSA"
364,"BERMEJO","LAGUNAYEMA","FORMOSA"
365,"BERMEJO","LALEONESA","CHACO"
366,"LIBERTADORGENERALSANMARTIN","GENERALJOSESANMARTIN","CHACO"
367,"GENERALGUEMES","JUANJOSECASTELLI","CHACO"
368,"VALCHETA","VALCHETA","RIONEGRO"
369,"SANANTONIO","SANANTONIOOESTE","RIONEGRO"
370,"9DEJULIO","SIERRACOLORADA","RIONEGRO"
371,"\u00d1ORQUINCO","NORQUINCO","RIONEGRO"
372,"25DEMAYO","MAQUINCHAO","RIONEGRO"
373,"BIEDMA","PUERTOMADRYN","CHUBUT"
374,"TELSEN","TELSEN","CHUBUT"
375,"GASTRE","GASTRE","CHUBUT"
376,"ELCUY","ELCUY","RIONEGRO"
377,"PILCANIYEU","PILCANIYEU","RIONEGRO"
378,"CALAMUCHITA","SANAGUSTIN","CORDOBA"
379,"ADOLFOALSINA","CARHUE","BUENOSAIRES"
380,"RIVADAVIA","AMERICA","BUENOSAIRES"
381,"PELLEGRINI","PELLEGRINI","BUENOSAIRES"
382,"PUAN","PUAN","BUENOSAIRES"
383,"VILLARINO","MEDANOS","BUENOSAIRES"
384,"MARACO","GENERALPICO","LAPAMPA"
385,"QUEMUQUEMU","QUEMUQUEMU","LAPAMPA"
386,"CATRILO","CATRILO","LAPAMPA"
387,"ATREUCO","MACACHIN","LAPAMPA"
388,"CALEUCALEU","LAADELA","LAPAMPA"
389,"GUATRACHE","GUATRACHE","LAPAMPA"
390,"HUCAL","BERNASCONI","LAPAMPA"
391,"PATAGONES","CARMENDEPATAGONES","BUENOSAIRES"
392,"CHAPALEUFU","INTENDENTEALVEAR","LAPAMPA"
393,"PRESIDENTEROQUESAENZPE\u00d1A","LABOULAYE","CORDOBA"
394,"CAPAYAN","HUILLAPIMA","CATAMARCA"
395,"CORONELFELIPEVARELA","VILLAUNION","LARIOJA"
396,"GENERALVILLEGAS","GENERALVILLEGAS","BUENOSAIRES"
397,"GENERALROCA","VILLAHUIDOBRO","CORDOBA"
398,"LEANDRONALEM","VEDIA","BUENOSAIRES"
399,"GENERALARENALES","GENERALARENALES","BUENOSAIRES"

401,"IGUAZU","PUERTOESPERANZA","MISIONES"
402,"IRIONDO","CA\u00a5ADADEGOMEZ","SANTAFE"
403,"SANJUSTO","SANJUSTO","SANTAFE"
404,"LASCOLONIAS","ESPERANZA","SANTAFE"
405,"SANJERONIMO","CORONDA","SANTAFE"
406,"GENERALLOPEZ","MELINCUE","SANTAFE"
407,"ROSARIO","ROSARIO","SANTAFE"
408,"SANLORENZO","CORONDA","SANTAFE"
409,"GARAY","HELVENCIA","SANTAFE"
410,"SANJAVIER","SANJAVIER","SANTAFE"
411,"VERA","VERA","SANTAFE"
412,"CASTELLANOS","RAFAELA","SANTAFE"
413,"BELGRANO","LASROSAS","SANTAFE"
414,"CASEROS","CASILDA","SANTAFE"
415,"9DEJULIO","TOSTADO","SANTAFE"
416,"SANMARTIN","SASTRE","SANTAFE"
417,"GENERALOBLIGADO","RECONQUISTA","SANTAFE"
418,"LACAPITAL","SANTAFE","SANTAFE"
419,"CONSTITUCION","VILLACONSTITUCION","SANTAFE"
420,"LOSANDES","LOSANDES","SALTA"
421,"SUSQUES","SUSQUES","JUJUY"
422,"LAPOMA","LAPOMA","SALTA"
423,"LACALDERA","LACALDERA","SALTA"
424,"IRUYA","IRUYA","SALTA"
