ID,DEPARTAMENTO,CABECERA,PROVINCIA
235,"RIVADAVIA","RIVADAVIA","MENDOZA"
236,"GENERALALVEAR","GENERALALVEAR","MENDOZA"
237,"MOLINOS","MOLINOS","SALTA"
238,"CASTROBARROS","AMINGA","LARIOJA"
239,"GENERALGUEMES","GENERALMARTINM.GUEMES","SALTA"
240,"SANAGASTA","VILLASANAGASTA","LARIOJA"
241,"SANCARLOS","SANCARLOS","SALTA"
242,"GENERALOCAMPO","VILLASANTARITADECATUNA","LARIOJA"
243,"ROSARIODELERMA","ROSARIODELEMA","SALTA"
244,"SANMARTIN","SANMARTIN","MENDOZA"
245,"LAPAZ","LAPAZ","MENDOZA"
246,"SANRAFAEL","SANRAFAEL","MENDOZA"
247,"CHILECITO","CHILECITO","LARIOJA"
248,"GENERALANGELV.PENALOZA","TAMA","LARIOJA"
249,"GENERALBELGRANO","OLTA","LARIOJA"
250,"CHAMICAL","CHAMICAL","LARIOJA"
251,"INDEPENDENCIA","PATQUIA","LARIOJA"
252,"GENERALJUANF.QUIROGA","MALANZAN","LARIOJA"
253,"ROSARIOVERAPENALOZA","CHEPES","LARIOJA"
254,"GENERALSANMARTIN","ULAPES","LARIOJA"
255,"VINCHINA","VILLASANJOSEDEVINCHINA","LARIOJA"
256,"FAMATINA","FAMATINA","LARIOJA"
257,"LIBERTAD","PUERTOTIROL","CHACO"
258,"SANBLASDELOSSAUCES","SANBLAS","LARIOJA"
259,"ARAUCO","AIMOGASTA","LARIOJA"
260,"REALICO","REALICO","LAPAMPA"
261,"TRENEL","TRENEL","LAPAMPA"
262,"CHALILEO","SANTAISABEL","LAPAMPA"
263,"LOVENTUE","VICTORICA","LAPAMPA"
264,"TOAY","TOAY","LAPAMPA"
265,"CAPITAL","SANTAROSA","LAPAMPA"
266,"LIMAYMAHUIDA","LIMAYMAHUIDA","LAPAMPA"
267,"UTRACAN","GENERALACHA","LAPAMPA"
268,"MAYORLUISJ.FONTANA","VILLAANGELA","CHACO"
269,"CURACO","PUELCHES","LAPAMPA"
270,"FRAYJUSTOSANTAMARIADEORO","SANTASYLVINA","CHACO"
271,"LIHUELCALEL","CUCHILLOCO","LAPAMPA"
272,"RANCUL","PARERA","LAPAMPA"
