ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
173,"BERISSO","BERISSO","BUENOSAIRES",49575
174,"GENERALPUEYRREDON","MARDELPLATA","BUENOSAIRES",1478
175,"MARCHIQUITA","CORONELVIDAL","BUENOSAIRES",3494
176,"LACOSTA","MARDELTUYU","BUENOSAIRES",111
177,"GENERALLAVALLE","GENERALLAVALLE","BUENOSAIRES",127
178,"TORDILLO","GENERALCONESA","BUENOSAIRES",587
179,"CASTELLI","CASTELLI","BUENOSAIRES",166
180,"PUNTAINDIO","VERONICA","BUENOSAIRES",957
181,"MAGDALENA","MAGDALENA","BUENOSAIRES",12266
182,"SANFERNANDO","SANFERNANDO","BUENOSAIRES",8141
183,"CAMPANA","CAMPANA","BUENOSAIRES",2012
184,"BARADERO","BARADERO","BUENOSAIRES",6416
185,"ZARATE","ZARATE","BUENOSAIRES",3107
186,"SANPEDRO","SANPEDRO","BUENOSAIRES",1914
187,"RAMALLO","RAMALLO","BUENOSAIRES",8416
188,"SANNICOLAS","SANNICOLASDELOSARROYOS","BUENOSAIRES",8293
189,"PERGAMINO","PERGAMINO","BUENOSAIRES",130
190,"FIGUEROA","LACAYADA","SANTIAGODELESTERO",2454
191,"COLON","COLON","BUENOSAIRES",296
192,"AVELLANEDA","HERRERA","SANTIAGODELESTERO",296
193,"PELLEGRINI","NUEVAESPERANZA","SANTIAGODELESTERO",47
194,"SALAVINA","LOSTELARES","SANTIAGODELESTERO",756
195,"GENERALTABOADA","AYATUYA","SANTIAGODELESTERO",155
196,"ALBERDI","CAMPOGALLO","SANTIAGODELESTERO",380
197,"MORENO","QUIMILI","SANTIAGODELESTERO",63
198,"ZONDA","VILLABASILIONIEVAS","SANJUAN",0
199,"JUANFIBARRA","SUNCHOCORRAL","SANTIAGODELESTERO",411
200,"CHOYA","FRIAS","SANTIAGODELESTERO",401
201,"AYACUCHO","SANFRANCISCODELMONTEDEORO","SANLUIS",69
202,"RIVADAVIA","SELVA","SANTIAGODELESTERO",90
203,"OJODEAGUA","VILLAOJODEAGUA","SANTIAGODELESTERO",619
204,"GOBERNADORDUPUY","BUENAESPERANZA","SANLUIS",54
205,"ULLUM","VILLAIBAYEZ","SANJUAN",161
206,"ANGACO","ELSALVADOR","SANJUAN",411
207,"ALBARDON","VILLAGENERALSANMARTIN","SANJUAN",2131
208,"CHIMBAS","CHIMBAS","SANJUAN",98
209,"9DEJULIO","VILLANUEVEDEJULIO","SANJUAN",3944
210,"RAWSON","VILLAKRAUSE","SANJUAN",1267
211,"POCITO","VILLAALBERASTAIN","SANJUAN",108
212,"SANMARTIN","VILLASANMARTIN","SANJUAN",735
213,"CAUCETE","CAUCETE","SANJUAN",561
214,"JACHAL","SANJOSEDEJACHAL","SANJUAN",8527
215,"TERCEROARRIBA","OLIVA","CORDOBA",162
216,"25DEMAYO","VILLASANTAROSA","SANJUAN",2746
217,"JUAREZCELMAN","LACARLOTA","CORDOBA",15317
218,"CAPITAL","SALTA","SALTA",154
219,"CACHI","CACHI","SALTA",1261
220,"CERRILLOS","CERRILLOS","SALTA",470
221,"CHICOANA","CHICOANA","SALTA",268
222,"LAVINA","LAVINA","SALTA",185
223,"SANTAVICTORIA","SANTAVICTORIA","SALTA",0
224,"GENERALJOSEDESANMARTIN","GENERALJOSEDESANMARTIN","SALTA",485
225,"SANTAROSA","SANTAROSA","MENDOZA",313
226,"RIVADAVIA","RIVADAVIA","SALTA",1241
227,"METAN","METAN","SALTA",129
228,"LACANDELARIA","LACANDELARIA","SALTA",8387
229,"MAIPU","MAIPU","MENDOZA",49
230,"GUACHIPAS","GUACHIPAS","SALTA",6666
231,"CAPITAL","MENDOZA","MENDOZA",9486
232,"GODOYCRUZ","GODOYCRUZ","MENDOZA",873
